id	gene_name	Topological domain	Transmembrane	Intramembrane	has_signal	has_transmem	has_intramem	has_topo_dom	mitocarta	mitocarta_evidence	mitocarta_subloc
A0A0B4J1G0	Fcgr4	Extracellular; Cytoplasmic	Helical		True	True		True
A0A0B4J1N3	Gpr15lg				True
A0A0U1RPR8	Gucy2d	Extracellular; Cytoplasmic	Helical		True	True		True
A0A1B0GQX2	Tunar		Helical			True
A0A494BA31	Slc4a9		Helical			True
A0AAQ4VMX2	C4a				True
A1A547	Pglyrp3				True
A1E960	Odam				True
A1KXC4	Fcmr	Extracellular; Cytoplasmic	Helical		True	True		True
A1L314	Mpeg1		Beta stranded; Helical		True	True
A1L3P4	Slc9a6		Helical			True
A2A259	Pkd2l1	Cytoplasmic; Extracellular	Helical	Pore-forming		True	True	True
A2A6C4	Sppl2c	Lumenal; Cytoplasmic	Helical		True	True		True
A2A7Q9	Rnf19b		Helical			True
A2A863	Itgb4	Extracellular; Cytoplasmic	Helical		True	True		True
A2A8L5	Ptprf	Extracellular; Cytoplasmic	Helical		True	True		True
A2A8U2	Tmem201	Nuclear; Perinuclear space	Helical			True		True
A2A974	Cyp4a12b				True
A2AAE1	Bltp1	Lumenal; Cytoplasmic	Helical			True		True
A2AFS3	Elapor1	Extracellular; Cytoplasmic	Helical		True	True		True
A2AGL3	Ryr3	Cytoplasmic	Helical	Pore-forming		True	True	True
A2AHL1	Ano3	Cytoplasmic; Extracellular	Helical			True		True
A2AIR5	Grin3a	Extracellular; Cytoplasmic	Helical	Discontinuously helical	True	True	True	True
A2AJ15	Man1b1	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			True		True
A2AJ76	Hmcn2				True
A2AJ88	Pnpla7	Lumenal; Cytoplasmic	Helical			True		True
A2AJB7	Lcn5				True
A2AJN7	Slc4a11	Cytoplasmic; Extracellular	Helical			True		True
A2AJX4	Malrd1	Vesicular; Cytoplasmic	Helical		True	True		True
A2AKQ0	Slc35d1		Helical			True
A2ANU3	Syndig1	Cytoplasmic; Extracellular	Helical	Helical		True	True	True
A2APX8	Scn1a	Cytoplasmic; Extracellular	Helical	Pore-forming		True	True	True
A2AQ92	Duox1	Extracellular; Cytoplasmic	Helical		True	True		True
A2AR95	Ldlrad3	Extracellular; Cytoplasmic	Helical		True	True		True
A2ARA8	Itga8	Extracellular; Cytoplasmic	Helical		True	True		True
A2ARI4	Lgr4	Extracellular; Cytoplasmic	Helical		True	True		True
A2ARP9	Catsper2	Cytoplasmic; Extracellular	Helical	Helical; Pore-forming		True	True	True
A2ARV4	Lrp2	Extracellular; Cytoplasmic	Helical		True	True		True
A2AS89	Agmat								True	literature, targetP signal+, mito protein domain, MS/MS+	Matrix
A2ASI5	Scn3a	Cytoplasmic; Extracellular	Helical	Pore-forming		True	True	True
A2ASQ1	Agrn	Cytoplasmic; Extracellular	Helical; Signal-anchor for type II membrane protein			True		True
A2ASZ8	Slc25a25	Mitochondrial intermembrane; Mitochondrial matrix	Helical			True		True	True	literature, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++	MIM
A2AUU0	Mettl8								True	APEX_matrix, targetP signal, mito protein domain+	Matrix
A2AVA0	Svep1				True
A2AVZ9	Slc43a3		Helical			True
A2AWR3	Gpr155	Lumenal; Cytoplasmic	Helical; Discontinuously helical			True		True
A2AX52	Col6a4				True
A2RST1	Mgst2		Helical			True
A2RTF1	Catsperb	Extracellular; Cytoplasmic	Helical			True		True
A3FIN4	Atp8b5		Helical			True
A4QPC6	Btn2a2	Extracellular; Cytoplasmic	Helical		True	True		True
A6H6E2	Mmrn2				True
A6H8H5	Kcnb2	Cytoplasmic; Extracellular	Helical; Helical; Voltage-sensor	Helical		True	True	True
A6PWV3	Izumo3	Extracellular; Cytoplasmic	Helical		True	True		True
A6X935	Itih4				True
A7L9Z8	Atp2c2	Cytoplasmic; Extracellular	Helical			True		True
A7RDN6	Rnls				True
