id	Topological domain	Transmembrane	Intramembrane	Signal peptide	has_signal	has_transmem	has_intramem	has_topo_dom
A0A087X1C5	Extracellular; Cytoplasmic	Helical			False	True	False	True
A0A096LP01		Helical			False	True	False	False
A0A0B4J2F0	Mitochondrial intermembrane; Cytoplasmic	Helical			False	True	False	True
A0A0K2S4Q6	Extracellular; Cytoplasmic	Helical			True	True	False	True
A0A1B0GTW7	Extracellular; Cytoplasmic	Helical			True	True	False	True
A0AV02		Helical			False	True	False	False
A0AVI4	Lumenal; Cytoplasmic	Helical			False	True	False	True
A0FGR8	Cytoplasmic; Lumenal	Helical			False	True	False	True
A0FGR9	Cytoplasmic	Helical			False	True	False	True
A0PJK1	Extracellular; Cytoplasmic	Helical			False	True	False	True
A0PK00		Helical			False	True	False	False
A0PK05	Lumenal; Cytoplasmic	Helical			False	True	False	True
A0PK11		Helical			False	True	False	False
A1A5B4	Cytoplasmic; Extracellular	Helical			False	True	False	True
A1A5C7		Helical			False	True	False	False
A1E959					True	False	False	False
A1KXE4	Cytoplasmic; Extracellular	Helical			False	True	False	True
A1KZ92					True	False	False	False
A1L0T0		Helical			False	True	False	False
A1L3X0	Lumenal; Cytoplasmic	Helical			False	True	False	True
A1L4H1					True	False	False	False
A2A2Y4		Helical			False	True	False	False
A2RU14		Helical			False	True	False	False
A2VDJ0	Extracellular; Cytoplasmic	Helical			True	True	False	True
A2VEC9					True	False	False	False
A4D0S4					True	False	False	False
A4D1T9					True	False	False	False
A4D256		Helical			False	True	False	False
A5D8T8					True	False	False	False
A5PLL7		Helical			False	True	False	False
A5X5Y0	Extracellular; Cytoplasmic	Helical			True	True	False	True
A6BM72	Extracellular; Cytoplasmic	Helical			True	True	False	True
A6ND01					True	False	False	False
A6NDV4	Extracellular; Cytoplasmic	Helical			False	True	False	True
A6NFA1	Extracellular; Cytoplasmic	Helical			True	True	False	True
A6NFX1		Helical			False	True	False	False
A6NGU5	Cytoplasmic; Extracellular	Helical; Signal-anchor for type II membrane protein			False	True	False	True
A6NI61	Extracellular; Cytoplasmic	Helical			False	True	False	True
A6NI73	Extracellular; Cytoplasmic	Helical			True	True	False	True
A6NIM6		Helical			False	True	False	False
A6NKB5		Helical			False	True	False	False
A6NMZ7					True	False	False	False
A6NNB3	Extracellular; Cytoplasmic	Helical			False	True	False	True
A6NNN8		Helical			False	True	False	False
A6QL63		Helical			False	True	False	False
A8CG34		Helical			False	True	False	False
A8K2U0					True	False	False	False
A8K4G0	Extracellular; Cytoplasmic	Helical			True	True	False	True
A8K7I4					True	False	False	False
A8MPY1	Extracellular; Cytoplasmic	Helical			True	True	False	True
A8MVW5	Cytoplasmic	Helical			True	True	False	True
A8MYU2	Extracellular; Cytoplasmic	Helical; Helical; Voltage-sensor	Pore-forming		False	True	True	True
A8TX70					True	False	False	False
B0L3A2	Extracellular; Cytoplasmic	Helical			False	True	False	True
B0YJ81	Cytoplasmic; Lumenal	Helical			False	True	False	True
B2RTY4		Helical			False	True	False	False
B2RUY7					True	False	False	False
B2RUZ4	Cytoplasmic; Extracellular	Helical; Signal-anchor for type II membrane protein			False	True	False	True
B6A8C7	Extracellular; Cytoplasmic	Helical			True	True	False	True
B7U540	Cytoplasmic; Extracellular	Helical	Helical; Pore-forming		False	True	True	True
B7ZAQ6		Helical			False	True	False	False
D3W0D1	Cytoplasmic; Extracellular	Helical; Signal-anchor for type II membrane protein			False	True	False	True
E0CX11		Helical			False	True	False	False
F5H094	Cytoplasmic; Extracellular	Helical			False	True	False	True
H0YL14		Helical			False	True	False	False
H3BV60	Extracellular; Cytoplasmic	Helical			True	True	False	True
K7EJ46		Helical			False	True	False	False
K9M1U5					True	False	False	False
M5A8F1					True	False	False	False
O00115					True	False	False	False
O00124	Cytoplasmic; Lumenal	Helical			False	True	False	True
O00144	Extracellular; Cytoplasmic	Helical			True	True	False	True
O00155	Extracellular; Cytoplasmic	Helical			False	True	False	True
O00168	Extracellular; Cytoplasmic	Helical			True	True	False	True
O00175					True	False	False	False
O00180	Cytoplasmic; Extracellular	Helical	Helical		False	True	True	True
O00187					True	False	False	False
O00198		Helical			False	True	False	False
O00206	Extracellular; Cytoplasmic	Helical			True	True	False	True
O00219	Cytoplasmic; Extracellular	Helical			False	True	False	True
