uniprot_id	gene_symbol	hein2024_component	hein2024_gt_component	itzhak2016_component
Q9NRG9	AAAS	Endoplasmic reticulum		
Q86V21	AACS	Cytosol		
Q6PD74	AAGAB	Cytosol	Cytosol	
Q2M2I8	AAK1	Cell membrane		
Q9H7C9	AAMDC	Cytosol		
Q13685	AAMP	Cytosol		
Q9Y312	AAR2	Cytosol		
P49588	AARS1	Cytosol		
Q5JTZ9	AARS2	Mitochondrion		Mitochondrion
Q9BTE6	AARSD1	Cytosol		
Q4L235	AASDH	Cytosol	Cytosol	
Q9NRN7	AASDHPPT	Cytosol		
Q9UDR5	AASS	Mitochondrion		
Q9NY61	AATF	Nucleolus		
P80404	ABAT	Mitochondrion		
Q9BZC7	ABCA2	Early endosome		
Q99758	ABCA3	Lysosome		
P08183	ABCB1	Recycling endosome	Cell membrane	Cell membrane
Q9NRK6	ABCB10	Mitochondrion		
O75027	ABCB7	Mitochondrion	Mitochondrion	
Q9NUT2	ABCB8	Mitochondrion	Mitochondrion	
P33527	ABCC1	Cell membrane		
Q5T3U5	ABCC10	Lysosome		
O15439	ABCC4	Cell membrane	Cell membrane	
O15440	ABCC5	Early endosome	Cell membrane	
P33897	ABCD1	Peroxisome	Peroxisome	Peroxisome
P28288	ABCD3	Peroxisome		Peroxisome
O14678	ABCD4	Endoplasmic reticulum		
Q8NE71	ABCF1	Stress granule		
Q9UG63	ABCF2	Translation		
Q9NUQ8	ABCF3	Stress granule		
Q9NUJ1	ABHD10	Mitochondrion		
Q8NFV4	ABHD11	Mitochondrion	Mitochondrion	
Q8N2K0	ABHD12	Endoplasmic reticulum	Endoplasmic reticulum	
Q96IU4	ABHD14B	Cytosol		
O95870	ABHD16A	Endoplasmic reticulum		
Q96GS6	ABHD17A	Recycling endosome		
Q5VST6	ABHD17B	Cell membrane		
Q0P651	ABHD18	Mitochondrion		
Q9BV23	ABHD6	Endoplasmic reticulum	Endoplasmic reticulum	
Q8IZP0	ABI1	Cytoskeleton		
Q9NYB9	ABI2	Cytoskeleton		
Q9NX38	ABITRAM	Cytosol		
P00519	ABL1	Cell membrane		
O14639	ABLIM1	Cytoskeleton		Actin binding proteins
Q12979	ABR	Cytosol		
Q9P1F3	ABRACL	Cytosol		
Q15018	ABRAXAS2	Cytosol		
Q9ULW3	ABT1	Nucleolus		
Q8N961	ABTB2	Cytosol		
A6QL63	ABTB3	Cytosol		
P09110	ACAA1	Peroxisome		Peroxisome
P42765	ACAA2	Mitochondrion	Mitochondrion	
Q13085	ACACA	Cytosol		
Q6JQN1	ACAD10	Mitochondrion	Mitochondrion	
Q709F0	ACAD11	Peroxisome	Peroxisome	
Q9UKU7	ACAD8	Mitochondrion	Mitochondrion	
Q9H845	ACAD9	Mitochondrion		
P11310	ACADM	Mitochondrion	Mitochondrion	Mitochondrion
P16219	ACADS	Mitochondrion	Mitochondrion	
P45954	ACADSB	Mitochondrion	Mitochondrion	Mitochondrion
P49748	ACADVL	Mitochondrion	Mitochondrion	
Q15057	ACAP2	Cytosol		
P24752	ACAT1	Mitochondrion	Mitochondrion	Mitochondrion
Q9BWD1	ACAT2	Cytosol		
Q9H3P7	ACBD3	trans-Golgi network		
Q5T8D3	ACBD5	Peroxisome		Peroxisome
Q9BR61	ACBD6	Cytosol		
Q8N6N7	ACBD7	Cytosol		
Q96AP0	ACD	Nucleus		
Q9UKV3	ACIN1	Nucleus	Nucleus	
P53396	ACLY	Cytosol		
P21399	ACO1	Cytosol		
Q99798	ACO2	Mitochondrion	Mitochondrion	
Q9NPJ3	ACOT13	Mitochondrion		Mitochondrion
P49753	ACOT2	Mitochondrion		
O00154	ACOT7	Cytosol		
O14734	ACOT8	Peroxisome		Peroxisome
Q9Y305	ACOT9	Mitochondrion		
Q15067	ACOX1	Peroxisome		Peroxisome
O15254	ACOX3	Peroxisome	Peroxisome	
P24666	ACP1	Cytosol	Cytosol	
P11117	ACP2	Lysosome	Lysosome	Lysosome
Q9NPH0	ACP6	Mitochondrion		
Q96CM8	ACSF2	Mitochondrion		
Q4G176	ACSF3	Mitochondrion	Mitochondrion	
P33121	ACSL1	Endoplasmic reticulum	Peroxisome	
O95573	ACSL3	Endoplasmic reticulum	Endoplasmic reticulum	
O60488	ACSL4	Early endosome	Golgi apparatus	
Q9NUB1	ACSS1	Mitochondrion		
Q9NR19	ACSS2	Cytosol	Cytosol	
Q9H6R3	ACSS3	Mitochondrion		
P68032	ACTC1	Cytoskeleton		
P63261	ACTG1	Cytoskeleton		Actin binding proteins
O96019	ACTL6A	Nucleus		
Q5BKX5	ACTMAP	Cytosol	Cytosol	
P12814	ACTN1	Cell membrane	Cytoskeleton	Actin binding proteins
O43707	ACTN4	Cytoskeleton	Cytoskeleton	Actin binding proteins
Q9NZ32	ACTR10	Cytosol		
P42025	ACTR1B	Cytosol		
P61160	ACTR2	Cytoskeleton		
P61158	ACTR3	Cytoskeleton		
Q9P1U1	ACTR3B	Cytoskeleton		
Q9GZN1	ACTR6	Nucleus		
P27037	ACVR2A	Cell membrane		
Q03154	ACY1	Cytosol		
P07311	ACYP1	Cytosol		
P14621	ACYP2	Cytosol		
P00813	ADA	Cytosol		
O14672	ADAM10	Cell membrane	Endoplasmic reticulum	
O75078	ADAM11	Cell membrane		
Q13444	ADAM15	Endoplasmic reticulum		
P78536	ADAM17	Endoplasmic reticulum	Cell membrane	Cell membrane
Q9P0K1	ADAM22	Cell membrane		
Q13443	ADAM9	Recycling endosome		Cell membrane
Q9UHI8	ADAMTS1	Early endosome		
P55265	ADAR	Nucleus	Nucleus	
Q9BUB4	ADAT1	Cytosol		
Q7Z6V5	ADAT2	Cytosol	Cytosol	
Q96EY9	ADAT3	Cytosol	Cytosol	
Q86TW2	ADCK1	Mitochondrion		
O60266	ADCY3	Cell membrane		
O43306	ADCY6	Cell membrane	Cell membrane	
O60503	ADCY9	Cell membrane	Cell membrane	
P35611	ADD1	Cytoskeleton		
P35612	ADD2	Cytoskeleton		
Q9UEY8	ADD3	Cytoskeleton		
P48960	ADGRE5	Recycling endosome	Cell membrane	Cell membrane
O94910	ADGRL1	Cell membrane		
O95490	ADGRL2	Cell membrane		
Q9HAR2	ADGRL3	Cell membrane		
P11766	ADH5	Cytosol		
Q9BV57	ADI1	Cytosol		
Q96A54	ADIPOR1	Cell membrane		
Q9GZN8	ADISSP	Cytosol		
P55263	ADK	Cytosol		
Q9H2P0	ADNP	Nucleus	Nucleus	
Q6IQ32	ADNP2	Nucleus		
Q96SZ5	ADO	Mitochondrion		
Q9BRR6	ADPGK	Endoplasmic reticulum	Endoplasmic reticulum	
Q9NX46	ADPRS	Mitochondrion		
Q16186	ADRM1	Proteasome		
P30566	ADSL	Cytosol		
P30520	ADSS2	Cytosol		
Q8N556	AFAP1	Cytoskeleton		
P55196	AFDN	Cell membrane		
Q9UHB7	AFF4	Nucleus		
Q8WV93	AFG1L	Mitochondrion	Mitochondrion	
Q8NB90	AFG2A	Proteasome		
Q9BVQ7	AFG2B	Nucleus		
Q9Y4W6	AFG3L2	Mitochondrion	Mitochondrion	
Q6ULP2	AFTPH	Early endosome		
P20933	AGA	Lysosome	Lysosome	
P52594	AGFG1	Cytoskeleton		
Q8N302	AGGF1	Cytosol	Cytosol	
Q53H12	AGK	Mitochondrion		
P35573	AGL	Cytosol		Large protein complex
Q9UL18	AGO1	Stress granule		
Q9UKV8	AGO2	Stress granule		
Q9H9G7	AGO3	Stress granule		
Q99943	AGPAT1	Endoplasmic reticulum	Endoplasmic reticulum	
O15120	AGPAT2	Endoplasmic reticulum	Endoplasmic reticulum	
Q9NRZ7	AGPAT3	Endoplasmic reticulum	Endoplasmic reticulum	
Q9NRZ5	AGPAT4	Endoplasmic reticulum		
Q9NUQ2	AGPAT5	Mitochondrion		
O00116	AGPS	Peroxisome	Peroxisome	Peroxisome
O00468	AGRN	Endoplasmic reticulum		
Q8WYP5	AHCTF1	Nucleus		
P23526	AHCY	Cytosol		
O43865	AHCYL1	Cytosol		
Q96HN2	AHCYL2	Cell membrane		
Q5TGY3	AHDC1	Nucleus	Nucleus	
Q8N157	AHI1	Nucleus		
Q09666	AHNAK	Cell membrane		
Q8IVF2	AHNAK2	Cell membrane		
P35869	AHR	Cytosol	Cytosol	
O95433	AHSA1	Cytosol		
Q96BJ3	AIDA	Cell membrane	Cell membrane	
Q9BQI0	AIF1L	Cytosol		
O95831	AIFM1	Mitochondrion	Mitochondrion	
Q13155	AIMP2	Endoplasmic reticulum		Large protein complex
O00170	AIP	Cytosol		
Q9NX04	AIRIM	Translation		
P00568	AK1	Cytosol		
P54819	AK2	Mitochondrion		Mitochondrion
Q9UIJ7	AK3	Mitochondrion		
P27144	AK4	Mitochondrion	Mitochondrion	Mitochondrion
Q9Y3D8	AK6	Cytosol		
Q92667	AKAP1	Mitochondrion		Mitochondrion
Q9UKA4	AKAP11	Endoplasmic reticulum		
Q02952	AKAP12	Cytoskeleton		
Q12802	AKAP13	14-3-3 scaffold		
Q02040	AKAP17A	Nucleus		
P24588	AKAP5	Cell membrane		
Q9P0M2	AKAP7	Cytosol		
O43823	AKAP8	Nucleus		
Q9ULX6	AKAP8L	Nucleus		
Q99996	AKAP9	Centrosome		
Q53H80	AKIRIN2	Proteasome	Cytosol	
P14550	AKR1A1	Cytosol		
P15121	AKR1B1	Cytosol		
O43488	AKR7A2	Mitochondrion		
P31749	AKT1	Cytosol		
Q96B36	AKT1S1	Lysosome		
P31751	AKT2	Cytosol		
Q9Y243	AKT3	Cytosol		
Q9H8T0	AKTIP	Cytosol	Cytosol	
P13196	ALAS1	Mitochondrion	Mitochondrion	
Q13740	ALCAM	Cell membrane		
Q8IZ83	ALDH16A1	Cytosol		
P54886	ALDH18A1	Mitochondrion		
O94788	ALDH1A2	Cytosol		
P47895	ALDH1A3	Cytosol		
P30837	ALDH1B1	Mitochondrion		Mitochondrion
O75891	ALDH1L1	Mitochondrion		
Q3SY69	ALDH1L2	Mitochondrion		
P05091	ALDH2	Mitochondrion	Mitochondrion	
P51648	ALDH3A2	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
P30038	ALDH4A1	Mitochondrion	Mitochondrion	Mitochondrion
P51649	ALDH5A1	Mitochondrion		Mitochondrion
Q02252	ALDH6A1	Mitochondrion	Mitochondrion	
P49419	ALDH7A1	Mitochondrion		Mitochondrion
P49189	ALDH9A1	Mitochondrion	Mitochondrion	
P04075	ALDOA	Cytosol		
P09972	ALDOC	Cytosol	Cell membrane	
Q9BT22	ALG1	Endoplasmic reticulum	Endoplasmic reticulum	
Q5BKT4	ALG10	Endoplasmic reticulum		
Q2TAA5	ALG11	Endoplasmic reticulum		
Q9BV10	ALG12	Endoplasmic reticulum		
Q9NP73	ALG13	Endoplasmic reticulum		
Q96F25	ALG14	Endoplasmic reticulum		
Q9H553	ALG2	Endoplasmic reticulum		
Q92685	ALG3	Translation		
Q9Y673	ALG5	Endoplasmic reticulum	Endoplasmic reticulum	
Q9Y672	ALG6	Endoplasmic reticulum	Endoplasmic reticulum	
Q9BVK2	ALG8	Endoplasmic reticulum	Endoplasmic reticulum	
Q9H6U8	ALG9	Endoplasmic reticulum	Endoplasmic reticulum	
Q13686	ALKBH1	Mitochondrion		
Q6NS38	ALKBH2	Nucleus		
Q96Q83	ALKBH3	Cytosol		
Q9NXW9	ALKBH4	Cytosol		
Q6P6C2	ALKBH5	Nucleolus		
Q3KRA9	ALKBH6	Cytosol		
Q9BT30	ALKBH7	Mitochondrion	Mitochondrion	
Q96BT7	ALKBH8	Cytosol	Cytosol	
Q8TCU4	ALMS1	Centrosome	Centrosome	
Q96Q42	ALS2	Cytosol		
Q15699	ALX1	Nucleus		
Q86V81	ALYREF	Nucleus		
Q9C0C7	AMBRA1	Cytosol	Cytosol	
P17707	AMD1	Cytosol		
Q5JTC6	AMER1	Cell membrane		
Q9UKV5	AMFR	Endoplasmic reticulum	Endoplasmic reticulum	
Q8IY45	AMN1	Cytosol		
Q4VCS5	AMOT	Cytoskeleton		
Q8IY63	AMOTL1	Cytoskeleton		
Q9Y2J4	AMOTL2	14-3-3 scaffold		
Q01433	AMPD2	Cytosol		
P49418	AMPH	Cytosol		
Q96DE5	ANAPC16	Nucleus		
Q9UJX5	ANAPC4	Nucleus		
Q9UJX4	ANAPC5	Cytosol		
Q9UJX3	ANAPC7	Nucleus		
Q9UNK9	ANGEL1	trans-Golgi network		
Q5VTE6	ANGEL2	Mitochondrion		
Q12955	ANK3	Cytosol		
Q9P2R3	ANKFY1	Early endosome		Endosome
Q8IWZ3	ANKHD1	Stress granule		
Q86XL3	ANKLE2	Endoplasmic reticulum	Endoplasmic reticulum	
Q8IV38	ANKMY2	Cytosol		
Q6UB99	ANKRD11	Nucleus	Nucleus	
Q8IZ07	ANKRD13A	Cytosol		
Q8N6S4	ANKRD13C	Cytosol		
O75179	ANKRD17	Stress granule		
Q9UPS8	ANKRD26	Nucleolus		
Q96NW4	ANKRD27	trans-Golgi network		
O15084	ANKRD28	Cytosol		
Q53RE8	ANKRD39	Cytosol	Cytosol	
Q6AI12	ANKRD40	Golgi apparatus		
Q8N8A2	ANKRD44	Cytosol		
Q86W74	ANKRD46	Endoplasmic reticulum		
Q8WVL7	ANKRD49	Cytosol	Cytosol	
Q9ULJ7	ANKRD50	Early endosome		
Q8NB46	ANKRD52	Cytosol		
Q6NXT1	ANKRD54	Cytosol		
Q92625	ANKS1A	Cytosol		
Q6ZW76	ANKS3	Cytosol		
Q9H8Y5	ANKZF1	Translation		
Q9NQW6	ANLN	Cell membrane		
Q9NW15	ANO10	Endoplasmic reticulum	Endoplasmic reticulum	
Q4KMQ2	ANO6	Recycling endosome	Cell membrane	Cell membrane
P39687	ANP32A	Cytosol		
Q92688	ANP32B	Cytosol		
Q9BTT0	ANP32E	Cytosol		
Q9BQD7	ANTKMT	Mitochondrion		
Q9H6X2	ANTXR1	Cell membrane	Cell membrane	Cell membrane
P04083	ANXA1	Cytosol		
P50995	ANXA11	Cytosol		
P07355	ANXA2	Cytoskeleton	Cell membrane	
P12429	ANXA3	Cytosol		
P09525	ANXA4	Cytosol		
P08758	ANXA5	Cytosol		
P08133	ANXA6	Cytosol		
P20073	ANXA7	Cytosol	Stress granule	
Q63HQ0	AP1AR	trans-Golgi network		
Q10567	AP1B1	Early endosome		Large protein complex
O43747	AP1G1	Early endosome		Large protein complex
O75843	AP1G2	Early endosome		
Q9BXS5	AP1M1	Early endosome		Large protein complex
P61966	AP1S1	Early endosome		Large protein complex
P56377	AP1S2	Early endosome		
Q96PC3	AP1S3	Early endosome		
O95782	AP2A1	Cytoskeleton		Cell membrane
O94973	AP2A2	Cytoskeleton		Cell membrane
P63010	AP2B1	Cell membrane	Cell membrane	
Q96CW1	AP2M1	Cell membrane		Cell membrane
P53680	AP2S1	Cell membrane		Cell membrane
O00203	AP3B1	Lysosome		Endosome
O14617	AP3D1	Early endosome		Endosome
Q9Y2T2	AP3M1	Lysosome		Endosome
P53677	AP3M2	Cytosol		
Q92572	AP3S1	Early endosome		
Q9Y6B7	AP4B1	Early endosome		
Q9UPM8	AP4E1	Early endosome		
Q9Y587	AP4S1	Early endosome		
Q2VPB7	AP5B1	Lysosome		
Q9H0R1	AP5M1	Lysosome		
Q9NUS5	AP5S1	Lysosome		
O43299	AP5Z1	14-3-3 scaffold		
O14727	APAF1	Cytosol		
Q99767	APBA2	Cytosol		
O96018	APBA3	Cytosol		
O00213	APBB1	Cytosol		
Q92870	APBB2	Recycling endosome		
P25054	APC	Cytoskeleton		
P13798	APEH	Cytosol		
Q9UBZ4	APEX2	Cytosol		
Q96BI3	APH1A	Endoplasmic reticulum		
Q9BZZ5	API5	Nucleus		
Q96GX9	APIP	Cytosol		
Q06481	APLP2	Early endosome		
Q9HDC9	APMAP	Endoplasmic reticulum	Endoplasmic reticulum	
P04114	APOB	Early endosome		
Q9NRW3	APOBEC3C	Translation		
P02656	APOC3	Early endosome		
Q9BQE5	APOL2	Endoplasmic reticulum	Endoplasmic reticulum	
Q9BUR5	APOO	Mitochondrion		
Q6UXV4	APOOL	Mitochondrion	Mitochondrion	
P05067	APP	Early endosome		Endosome
Q92624	APPBP2	Cytosol	Cytosol	
Q9UKG1	APPL1	Cytosol		
Q8NEU8	APPL2	Cytosol		
P07741	APRT	Cytosol		
Q7Z2E3	APTX	Nucleus		
O60306	AQR	Nucleus		
P10398	ARAF	14-3-3 scaffold		
Q96P48	ARAP1	Cytosol		
P48444	ARCN1	Endoplasmic reticulum-Golgi intermediate compartment	Endoplasmic reticulum-Golgi intermediate compartment	Large protein complex
P84077	ARF1	Cytosol		Golgi apparatus
P18085	ARF4	Endoplasmic reticulum-Golgi intermediate compartment		
P84085	ARF5	Golgi apparatus		
P62330	ARF6	Cell membrane	Cell membrane	
Q8N6T3	ARFGAP1	trans-Golgi network		
Q9NP61	ARFGAP3	Golgi apparatus		
Q9Y6D6	ARFGEF1	Cytosol		
Q9Y6D5	ARFGEF2	Early endosome		
Q5TH69	ARFGEF3	Cytosol		
P53367	ARFIP1	trans-Golgi network		
P53365	ARFIP2	trans-Golgi network		
Q13795	ARFRP1	Golgi apparatus	Golgi apparatus	
P78540	ARG2	Mitochondrion		
Q9NWB6	ARGLU1	Nucleus		
Q07960	ARHGAP1	Cytosol		
A1A4S6	ARHGAP10	Recycling endosome		
Q6P4F7	ARHGAP11A	Nucleus		
Q8IWW6	ARHGAP12	Cytoskeleton		
Q68EM7	ARHGAP17	Cytosol		
Q8N392	ARHGAP18	Cytosol		
Q5T5U3	ARHGAP21	Cytoskeleton		
Q9UNA1	ARHGAP26	Cell membrane		
Q6ZUM4	ARHGAP27	Cytosol	Cytosol	
A7KAX9	ARHGAP32	14-3-3 scaffold		
Q9NRY4	ARHGAP35	Cell membrane		
Q13017	ARHGAP5	Cell membrane		
P52565	ARHGDIA	Cytosol		
O15013	ARHGEF10	Cytosol		
O15085	ARHGEF11	Cytoskeleton		
Q9NZN5	ARHGEF12	Cell membrane		
Q5VV41	ARHGEF16	Cytosol		
Q6ZSZ5	ARHGEF18	Endoplasmic reticulum		
Q92974	ARHGEF2	14-3-3 scaffold		
Q9NR80	ARHGEF4	14-3-3 scaffold		
Q15052	ARHGEF6	Cell membrane		
Q14155	ARHGEF7	Cell membrane		
O14497	ARID1A	Nucleus	Nucleus	
Q8NFD5	ARID1B	Nucleus	Nucleus	
Q68CP9	ARID2	Nucleus		
Q99856	ARID3A	Nucleus		
Q8IVW6	ARID3B	Nucleus		
P29374	ARID4A	Nucleus	Nucleus	
Q4LE39	ARID4B	Nucleus		
Q14865	ARID5B	Nucleus	Nucleus	
Q9Y4X5	ARIH1	Cytosol		
O95376	ARIH2	Cytosol		
Q96B23	ARK2N	Cytosol		
P40616	ARL1	Golgi apparatus		Golgi apparatus
Q8N8L6	ARL10	Mitochondrion		
Q3SXY8	ARL13B	Recycling endosome	Cell membrane	
Q9NXU5	ARL15	Cell membrane		
P36404	ARL2	Mitochondrion		
Q9Y2Y0	ARL2BP	Cytosol		
P36405	ARL3	Cytosol		
Q96KC2	ARL5B	Golgi apparatus		
Q9H0F7	ARL6	Cytosol	Cytosol	
O75915	ARL6IP5	Endoplasmic reticulum	Endoplasmic reticulum	
Q8N6S5	ARL6IP6	Endoplasmic reticulum	Nucleus	
Q96BM9	ARL8A	Lysosome		Endosome
Q9NVJ2	ARL8B	Lysosome		Endosome
Q9NVT9	ARMC1	Mitochondrion		
Q8N2F6	ARMC10	Mitochondrion		
Q96C12	ARMC5	Cytosol		
Q6NXE6	ARMC6	Cytosol		
Q8IUR7	ARMC8	Cytosol		
Q7Z3E5	ARMC9	Cytosol		
Q9UH62	ARMCX3	Mitochondrion		
Q5T2E6	ARMH3	Golgi apparatus		
Q9H993	ARMT1	Cytosol		
P27540	ARNT	Cytosol		
Q92747	ARPC1A	Cytoskeleton		Large protein complex
O15143	ARPC1B	Cytoskeleton		Large protein complex
O15144	ARPC2	Cytoskeleton		Large protein complex
O15145	ARPC3	Cytoskeleton		Large protein complex
P59998	ARPC4	Cytoskeleton		Large protein complex
O15511	ARPC5	Cytoskeleton		Large protein complex
Q9BPX5	ARPC5L	Cytoskeleton		Large protein complex
P49407	ARRB1	Cytosol		
P15289	ARSA	Lysosome	Lysosome	
P15848	ARSB	Endoplasmic reticulum	Lysosome	Lysosome
Q9H2C2	ARV1	Endoplasmic reticulum		
O00192	ARVCF	Cell membrane		
Q9HBK9	AS3MT	Cytosol		
Q13510	ASAH1	Lysosome	Lysosome	Lysosome
Q9ULH1	ASAP1	Cell membrane		
O43150	ASAP2	Cytosol		
Q9NWX5	ASB6	Cytosol	Cytosol	
Q8N9N2	ASCC1	Translation		
Q9H1I8	ASCC2	Translation		
Q8N3C0	ASCC3	Translation		
Q9NVP2	ASF1B	Cytosol		
Q9NR48	ASH1L	Nucleus		
Q9UBL3	ASH2L	Nucleus		
P04424	ASL	Cytosol		
O95671	ASMTL	Cytosol		
P08243	ASNS	Cytosol		
Q9NWL6	ASNSD1	Cytosol	Cytosol	
Q12797	ASPH	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
Q8IZT6	ASPM	Nucleolus		
Q9BZE9	ASPSCR1	Cytosol	Cytosol	
Q7L266	ASRGL1	Cytosol	Cytosol	
P00966	ASS1	Cytosol		
Q2TB18	ASTE1	Nucleus		
Q8IXJ9	ASXL1	Nucleus		
Q76L83	ASXL2	Nucleus	Nucleus	
Q8NBU5	ATAD1	Mitochondrion		
Q6PL18	ATAD2	Nucleus		
Q9ULI0	ATAD2B	Nucleus	Nucleus	
Q9NVI7	ATAD3A	Mitochondrion		
Q5T9A4	ATAD3B	Mitochondrion		
Q96QE3	ATAD5	Nucleus	Nucleus	
Q5SQI0	ATAT1	Nucleus		
O95260	ATE1	Cytosol	Cytosol	
P18846	ATF1	Nucleus		
P15336	ATF2	Nucleus		
P18847	ATF3	Nucleus	Nucleus	
P18850	ATF6	Endoplasmic reticulum		Endoplasmic reticulum
Q99941	ATF6B	Endoplasmic reticulum		
P17544	ATF7	Nucleus		
Q6VMQ6	ATF7IP	Cytoskeleton		
Q9BSB4	ATG101	Cytosol		
O94817	ATG12	Cytosol		
O75143	ATG13	Cytosol		
Q676U5	ATG16L1	Cytosol		
Q2TAZ0	ATG2A	Cytosol		
Q96BY7	ATG2B	Early endosome	Cytosol	
Q9NT62	ATG3	Cytosol		
Q8WYN0	ATG4A	Cytosol	Cytosol	
Q9Y4P1	ATG4B	Cytosol		
Q96DT6	ATG4C	Cytosol	Cytosol	
Q9H1Y0	ATG5	Cytosol		
O95352	ATG7	Cytosol		
Q7Z3C6	ATG9A	trans-Golgi network		Endosome
P31939	ATIC	Cytosol		
Q8WXF7	ATL1	Endoplasmic reticulum		
Q8NHH9	ATL2	Endoplasmic reticulum		Endoplasmic reticulum membrane
Q6DD88	ATL3	Endoplasmic reticulum		Endoplasmic reticulum membrane
Q13315	ATM	Nucleus		
O00244	ATOX1	Cytosol		
P98196	ATP11A	Recycling endosome		
Q9Y2G3	ATP11B	Recycling endosome		
Q8NB49	ATP11C	Cell membrane		
Q9HD20	ATP13A1	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
Q9NQ11	ATP13A2	Lysosome		
Q9H7F0	ATP13A3	Recycling endosome	Cell membrane	
P05023	ATP1A1	Cell membrane	Cell membrane	Cell membrane
P50993	ATP1A2	Cytoskeleton		
P13637	ATP1A3	Cell membrane		
Q13733	ATP1A4	Cell membrane		
P05026	ATP1B1	Cell membrane	Cell membrane	Cell membrane
P54709	ATP1B3	Cell membrane	Cell membrane	Cell membrane
Q9Y6H3	ATP23	Nucleus		
P16615	ATP2A2	Endoplasmic reticulum	Endoplasmic reticulum	Endoplasmic reticulum
P20020	ATP2B1	Cell membrane	Cell membrane	Cell membrane
P23634	ATP2B4	Cell membrane	Cell membrane	Cell membrane
P98194	ATP2C1	Golgi apparatus		Golgi apparatus
P25705	ATP5F1A	Mitochondrion	Mitochondrion	Mitochondrion
P06576	ATP5F1B	Mitochondrion	Mitochondrion	Mitochondrion
P36542	ATP5F1C	Mitochondrion	Mitochondrion	Mitochondrion
P30049	ATP5F1D	Mitochondrion	Mitochondrion	
P56381	ATP5F1E	Mitochondrion	Mitochondrion	
Q9UII2	ATP5IF1	Mitochondrion	Mitochondrion	Mitochondrion
P56385	ATP5ME	Mitochondrion	Mitochondrion	Mitochondrion
P56134	ATP5MF	Mitochondrion		
O75964	ATP5MG	Mitochondrion		Mitochondrion
Q96IX5	ATP5MK	Mitochondrion		
P24539	ATP5PB	Mitochondrion	Mitochondrion	Mitochondrion
O75947	ATP5PD	Mitochondrion		Mitochondrion
P18859	ATP5PF	Mitochondrion	Mitochondrion	
P48047	ATP5PO	Mitochondrion	Mitochondrion	Mitochondrion
Q15904	ATP6AP1	Endoplasmic reticulum		Endosome
O75787	ATP6AP2	Endoplasmic reticulum	Endoplasmic reticulum	
Q93050	ATP6V0A1	Recycling endosome		Endosome
Q9Y487	ATP6V0A2	trans-Golgi network		Endosome
P61421	ATP6V0D1	Recycling endosome		Endosome
Q8N8Y2	ATP6V0D2	Early endosome		
P38606	ATP6V1A	Early endosome		Endosome
P21281	ATP6V1B2	Early endosome		Endosome
P21283	ATP6V1C1	Early endosome		Endosome
Q9Y5K8	ATP6V1D	Early endosome		
P36543	ATP6V1E1	Early endosome		Endosome
Q16864	ATP6V1F	Early endosome		
O75348	ATP6V1G1	Early endosome		Endosome
Q9UI12	ATP6V1H	Early endosome		Endosome
Q04656	ATP7A	trans-Golgi network		
P35670	ATP7B	trans-Golgi network		
Q9Y2Q0	ATP8A1	trans-Golgi network		
P98198	ATP8B2	Recycling endosome		
O75110	ATP9A	Recycling endosome		
O43861	ATP9B	trans-Golgi network		
Q5TC12	ATPAF1	Mitochondrion		
Q8N5M1	ATPAF2	Mitochondrion	Mitochondrion	
Q13535	ATR	Nucleus		
O75882	ATRN	Early endosome		
P46100	ATRX	Nucleus	Nucleus	
Q9UBB4	ATXN10	Cytosol		
Q99700	ATXN2	Stress granule	Stress granule	
Q8WWM7	ATXN2L	Stress granule	Stress granule	
P54252	ATXN3	Cytosol	Cytosol	
O15265	ATXN7	Nucleus	Nucleus	
Q5T6C5	ATXN7L2	Nucleus		
Q14CW9	ATXN7L3	Nucleus	Nucleus	
Q96GX2	ATXN7L3B	Cytosol		
Q13825	AUH	Mitochondrion	Mitochondrion	
Q9Y679	AUP1	Endoplasmic reticulum	Endoplasmic reticulum	
O14965	AURKA	Nucleus		
Q96GD4	AURKB	Nucleus		
Q8WXX7	AUTS2	Cytosol		
Q9NQS1	AVEN	Stress granule		
Q8NBF6	AVL9	Early endosome		
O15169	AXIN1	Cytoskeleton		
Q9H6S1	AZI2	Cytosol	Cytosol	
P61769	B2M	Cell membrane		
Q96L58	B3GALT6	Golgi apparatus		
O94766	B3GAT3	Golgi apparatus		Golgi apparatus
Q6Y288	B3GLCT	Endoplasmic reticulum		Endoplasmic reticulum
P15291	B4GALT1	Golgi apparatus	Golgi apparatus	Golgi apparatus
O60512	B4GALT3	Golgi apparatus		
O43286	B4GALT5	Golgi apparatus		Golgi apparatus
Q9UBV7	B4GALT7	Golgi apparatus		
O43505	B4GAT1	Golgi apparatus		
Q9BPU9	B9D2	Nucleus		
Q92934	BAD	14-3-3 scaffold		
Q99933	BAG1	Proteasome		
O95817	BAG3	Cytosol		
O95429	BAG4	Cytosol		
P46379	BAG6	Early endosome		
Q8TBE0	BAHD1	Nucleus		
Q9UQB8	BAIAP2	Cytoskeleton		
Q9UHR4	BAIAP2L1	Cell membrane		
Q16611	BAK1	Mitochondrion		
O75531	BANF1	Endoplasmic reticulum		
Q8N9N5	BANP	Nucleus		
Q92560	BAP1	Nucleus	Nucleus	
