id	gene_name	Topological domain	Transmembrane	Intramembrane	has_signal	has_transmem	has_intramem	has_topo_dom
D6VTK4	STE2	Extracellular; Cytoplasmic	Helical			True		True
O13547	CCW14				True
P00163	COB	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P00401	COX1	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P00410	COX2	Mitochondrial intermembrane; Mitochondrial matrix	Helical			True		True
P00420	COX3	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P00424	COX5A	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P00635	PHO5				True
P00724	SUC2				True
P00729	PRC1				True
P00854	ATP6		Helical			True
P03873	BI2	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P03877	AI3		Helical			True
P04039	COX8	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P04710	AAC1		Helical			True
P04817	CAN1		Helical			True
P04821	CDC25		Helical			True
P04840	POR1		Beta stranded			True
P05030	PMA1	Cytoplasmic; Extracellular	Helical			True		True
P05374	CHO2	Lumenal; Cytoplasmic	Helical			True		True
P05375	OPI3	Lumenal; Cytoplasmic	Helical	Helical		True	True	True
P06197	PIS1	Cytoplasmic; Lumenal	Helical			True		True
P07143	CYT1	Mitochondrial intermembrane; Mitochondrial matrix	Helical			True		True
P07213	TOM70	Mitochondrial intermembrane; Cytoplasmic	Helical			True		True
P07255	COX9	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P07267	PEP4				True
P07286	ALG7		Helical			True
P08004	CHS1		Helical			True
P08067	RIP1	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P08456	CHO1		Helical			True
P08525	QCR8	Mitochondrial matrix; Mitochondrial intermembrane	Helical			True		True
P08640	FLO11				True
P09232	PRB1				True
P09620	KEX1	Lumenal; Cytoplasmic	Helical		True	True		True
P0C5R9		Lumenal; Cytoplasmic	Helical			True		True
P0CD91	AQY1	Cytoplasmic; Extracellular	Helical			True		True
P0CX77	ASP3-2				True
P0CX78	ASP3-3				True
P0CX79	ASP3-4				True
