id	Topological domain	Transmembrane	Intramembrane	Signal peptide	has_signal	has_transmem	has_intramem	has_topo_dom
A0A178WF56		Helical			False	True	False	False
A0A1I9LMX5					True	False	False	False
A0A1I9LN01		Helical			False	True	False	False
A0A1P8AQ95					True	False	False	False
A0JQ18					True	False	False	False
A1L4X0		Helical			False	True	False	False
A2RVU1	Cytoplasmic; Extracellular	Helical			True	True	False	True
A4FVP6		Helical			False	True	False	False
A7WM73					True	False	False	False
A7XDQ9	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			False	True	False	True
A8MPR5		Helical			False	True	False	False
A8MQA5					True	False	False	False
A8MQY1		Helical			False	True	False	False
A8MR93		Helical			False	True	False	False
A8MRY9		Helical			False	True	False	False
A8R7E6	Extracellular; Cytoplasmic	Helical			True	True	False	True
B3GS44					True	False	False	False
B3H4Y2					True	False	False	False
B3H5A9					True	False	False	False
B3H5J1					True	False	False	False
B3H754		Helical			False	True	False	False
B3H7I1					True	False	False	False
B5TYT3		Helical			False	True	False	False
B7ZWR6	Cytoplasmic; Lumenal	Helical			False	True	False	True
B8XCH5		Helical			False	True	False	False
B9DFK5		Helical			False	True	False	False
B9DFU2		Helical			False	True	False	False
B9DFX7		Helical			False	True	False	False
B9DGY1		Helical			False	True	False	False
C0LGE0	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGF4	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGF5	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGG6	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGG8	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGH3	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGH8	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGI5	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGJ1	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGJ9	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGL4	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGL9	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGN2	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGP2	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGP9	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGQ4	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGQ5	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGQ9	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGR3	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGR6	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGR9	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGS2	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGS3	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGT1	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGT6	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGU0	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGU5	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGU7	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGV1	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGW2	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGW6	Extracellular; Cytoplasmic	Helical			True	True	False	True
C0LGX3	Extracellular; Cytoplasmic	Helical			True	True	False	True
C5I9W9	Cytoplasmic; Lumenal	Helical			True	True	False	True
D7SFH9	Extracellular; Cytoplasmic	Helical			True	True	False	True
F4HQM3					True	False	False	False
F4HTM3	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			False	True	False	True
F4HVJ3		Helical			False	True	False	False
F4HVS0		Helical			False	True	False	False
F4HVW5		Helical			False	True	False	False
F4HVY0		Helical			False	True	False	False
F4HXQ7		Helical			False	True	False	False
F4HXY7		Helical			False	True	False	False
F4I2N7	Extracellular; Cytoplasmic	Helical			True	True	False	True
F4I316		Helical			False	True	False	False
F4I3V6		Helical			False	True	False	False
F4I4K5					True	False	False	False
F4I8I0		Helical			False	True	False	False
F4I9A2	Cytoplasmic; Vesicular	Helical; Anchor for type IV membrane protein			False	True	False	True
F4IB81	Extracellular; Cytoplasmic	Helical			True	True	False	True
F4ICF4		Helical			False	True	False	False
F4ICX9					True	False	False	False
F4IDU4		Helical			False	True	False	False
F4IDY5		Helical			False	True	False	False
F4IED2		Helical			False	True	False	False
F4IHS9		Helical			False	True	False	False
F4IME2		Helical			False	True	False	False
F4IMH3		Helical			False	True	False	False
F4IQV7		Helical			False	True	False	False
F4ISL7	Stromal; Chloroplast intermembrane	Helical			False	True	False	True
F4ISV9		Helical			False	True	False	False
F4ITL6		Helical			False	True	False	False
F4ITM1		Helical			False	True	False	False
F4IYM4	Extracellular; Cytoplasmic	Helical			True	True	False	True
F4J0W4	Cytoplasmic; Mitochondrial intermembrane	Helical			False	True	False	True
F4J220		Helical			False	True	False	False
F4J3N2		Helical			False	True	False	False
F4JAU3	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			False	True	False	True
F4JBX1					True	False	False	False
F4JFU8		Helical			False	True	False	False
F4JIN3	Lumenal; Cytoplasmic	Helical			False	True	False	True
F4JJL0					True	False	False	False
F4JJL3					True	False	False	False
F4JKK0		Helical			False	True	False	False
F4JLZ6		Helical			False	True	False	False
F4JN35		Helical			False	True	False	False
F4JP36	Extracellular; Cytoplasmic	Helical			True	True	False	True
F4JPW1		Helical			False	True	False	False
F4JS25		Helical			False	True	False	False
F4JSE7		Helical			False	True	False	False
F4JSH1	Cytoplasmic; Extracellular	Helical			False	True	False	True
F4JTB3		Helical			False	True	False	False
F4JTN2	Cytoplasmic; Lumenal	Helical			False	True	False	True
F4JUU5	Cytoplasmic; Lumenal	Helical			False	True	False	True
F4JY11		Helical			True	True	False	False
F4JYC8		Helical			False	True	False	False
F4JZG9	Stromal; Lumenal, thylakoid	Helical			False	True	False	True
F4JZN6	Lumenal; Cytoplasmic	Helical			False	True	False	True
F4K6B8	Extracellular; Cytoplasmic	Helical			True	True	False	True
F4K6F1	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			False	True	False	True
F4KCH3					True	False	False	False
F4KF14		Helical			False	True	False	False
F4KFS7		Helical			False	True	False	False
F4KG58		Helical			False	True	False	False
F4KGN5		Helical			False	True	False	False
F4KHQ8					True	False	False	False
O04023	Cytoplasmic; Lumenal	Helical; Signal-anchor			False	True	False	True
O04046					True	False	False	False
O04151					True	False	False	False
O04153					True	False	False	False
O04200		Helical			False	True	False	False
O04331	Mitochondrial matrix; Mitochondrial intermembrane	Helical; Signal-anchor for type II membrane protein			False	True	False	True
O04373					True	False	False	False
O04468					True	False	False	False
O04523	Cytoplasmic; Lumenal	Helical; Signal-anchor for type II membrane protein			False	True	False	True
O04529					True	False	False	False
O04532		Helical			True	True	False	False
O04547					True	False	False	False
O04567		Helical			True	True	False	False
O04616	Stromal; Lumenal	Helical			False	True	False	True
